Ranking,Ano,Filme,Distribuidor,Bilheteria (US$),Ref.
1,2009,Avatar,20th Century Fox,2 923 706 026,[1]
2,2019,Avengers: Endgame,Walt Disney Studios Motion Pictures,2 799 439 100,[2]
3,2022,Avatar: The Way of Water,20th Century Studios,2 320 250 281,[3]
4,1997,Titanic,Paramount Pictures / 20th Century Fox,2 264 743 305,[4]
5,2015,Star Wars: The Force Awakens,Walt Disney Studios Motion Pictures,2 071 310 218,[5]
6,2018,Avengers: Infinity War,Walt Disney Studios Motion Pictures,2 052 415 039,[6]
7,2021,Spider-Man: No Way Home,Sony Pictures Releasing,1 921 847 111,[7][8]
8,2015,Jurassic World,Universal Pictures,1 671 537 444,[9]
9,2019,The Lion King,Walt Disney Studios Motion Pictures,1 663 075 401,[10]
10,2012,Marvel's The Avengers,Walt Disney Studios Motion Pictures,1 520 538 536,[11]
11,2015,Furious 7,Universal Pictures,1 515 341 399,[12]
12,2022,Top Gun: Maverick,Paramount Pictures,1 495 696 292,[13][14]
13,2019,Frozen II,Walt Disney Studios Motion Pictures,1 453 683 476,[15]
14,2015,Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,1 405 018 048,[16]
15,2018,Black Panther,Walt Disney Studios Motion Pictures,1 349 926 083,[17]
16,2011,Harry Potter and the Deathly Hallows - Part 2,Warner Bros. Pictures,1 342 359 942,[18]
17,2023,The Super Mario Bros. Movie,Universal Pictures,1 341 948 110,[19]
18,2017,Star Wars: The Last Jedi,Walt Disney Studios Motion Pictures,1 334 407 706,[20]
19,2018,Jurassic World: Fallen Kingdom,Universal Pictures,1 310 466 296,[21]
20,2013,Frozen,Walt Disney Studios Motion Pictures,1 284 540 518,[22]
21,2017,Beauty and the Beast,Walt Disney Studios Motion Pictures,1 266 115 964,[23]
22,2018,Incredibles 2,Walt Disney Studios Motion Pictures,1 243 225 667,[24]
23,2017,The Fate of the Furious,Universal Pictures,1 236 005 118,[25]
24,2013,Iron Man 3,Paramount Pictures / Walt Disney Studios Motion Pictures,1 215 577 205,[26]
25,2015,Minions,Universal Pictures,1 159 444 662,[27]
26,2016,Captain America: Civil War,Walt Disney Studios Motion Pictures,1 155 046 416,[28]
27,2018,Aquaman,Warner Bros. Pictures,1 148 528 393,[29]
28,2003,The Lord of the Rings: The Return of the King,New Line Cinema,1 147 633 833,[30]
29,2012,Skyfall,Sony Pictures Releasing,1 142 471 295,[31]
30,2019,Spider-Man: Far From Home,Sony Pictures Releasing,1 131 927 996,[32]
31,2019,Captain Marvel,Walt Disney Studios Motion Pictures,1 131 416 446,[33]
32,2011,Transformers: Dark of the Moon,Paramount Pictures,1 123 794 079,[34]
33,1993,Jurassic Park,Universal Studios,1 109 802 321,[35]
34,2014,Transformers: Age of Extinction,Paramount Pictures,1 104 054 072,[36]
35,2012,The Dark Knight Rises,Warner Bros. Pictures,1 081 169 825,[37]
